TC_ID,Category,Description,Status
TC001,Login Page Navigation,Launch the VWO login page and verify the title of the page.,
TC002,Login Page Navigation,Verify the URL of the login page.,
TC003,Login Page Navigation,Click on the 'Forgot Password' link and verify the URL redirects to the forgot password page.,
TC004,Login Page Navigation,Click on the 'Register' link and verify the URL redirects to the registration page.,
TC005,Login Page Navigation,Click on the 'Help' link and verify the URL redirects to the help page.,
TC006,Login Page Navigation,Click on the 'Contact Us' link and verify the URL redirects to the contact page.,
TC007,Login Page Navigation,Verify the social media links on the login page.,
TC008,Login Page Navigation,Click on the 'Terms of Service' link and verify the URL redirects to the terms of service page.,
TC009,Login Page Navigation,Click on the 'Privacy Policy' link and verify the URL redirects to the privacy policy page.,
TC010,Login Page Navigation,Verify the 'Sign In' button is visible on the login page.,
TC011,Login Form Validation,"Enter a valid email address and password, then click on the 'Sign In' button.",
TC012,Login Form Validation,"Enter an invalid email address and a valid password, then click on the 'Sign In' button.",
TC013,Login Form Validation,"Enter a valid email address and an invalid password, then click on the 'Sign In' button.",
TC014,Login Form Validation,"Leave the email address field blank and enter a valid password, then click on the 'Sign In' button.",
TC015,Login Form Validation,"Enter a valid email address and leave the password field blank, then click on the 'Sign In' button.",
TC016,Login Form Validation,"Enter an email address with a special character in the username field and a valid password, then click on the 'Sign In' button.",
TC017,Login Form Validation,"Enter an email address with a special character in the password field and a valid email address, then click on the 'Sign In' button.",
TC018,Login Form Validation,"Enter an email address with a non-alphanumeric character in the username field and a valid password, then click on the 'Sign In' button.",
TC019,Login Form Validation,"Enter an email address with a non-alphanumeric character in the password field and a valid email address, then click on the 'Sign In' button.",
TC020,Login Form Validation,"Enter an email address with a non-alphanumeric character and a valid password, then click on the 'Sign In' button.",
TC021,Error Messages,"Enter an email address with a special character in the username field and a valid password, then click on the 'Sign In' button and verify the error message.",
TC022,Error Messages,"Enter an email address with a special character in the password field and a valid email address, then click on the 'Sign In' button and verify the error message.",
TC023,Error Messages,"Enter an email address with a non-alphanumeric character in the username field and a valid password, then click on the 'Sign In' button and verify the error message.",
TC024,Error Messages,"Enter an email address with a non-alphanumeric character in the password field and a valid email address, then click on the 'Sign In' button and verify the error message.",
TC025,Error Messages,"Enter an invalid email address and a valid password, then click on the 'Sign In' button and verify the error message.",
TC026,Error Messages,"Enter a valid email address and an invalid password, then click on the 'Sign In' button and verify the error message.",
TC027,Error Messages,"Leave the email address field blank and enter a valid password, then click on the 'Sign In' button and verify the error message.",
TC028,Error Messages,"Enter a valid email address and leave the password field blank, then click on the 'Sign In' button and verify the error message.",
TC029,Error Messages,"Enter a valid email address and a valid password, then click on the 'Sign In' button and verify the error message when the password is incorrect.",
TC030,Error Messages,"Enter an email address with a special character in the username field and a valid password, then click on the 'Sign In' button and verify the error message when the email is not registered.",
TC031,Password Requirements,"Enter an email address and a password with a minimum length of 8 characters, then click on the 'Sign In' button.",
TC032,Password Requirements,"Enter an email address and a password with a maximum length of 128 characters, then click on the 'Sign In' button.",
TC033,Password Requirements,"Enter an email address and a password with a special character, then click on the 'Sign In' button.",
TC034,Password Requirements,"Enter an email address and a password with a non-alphanumeric character, then click on the 'Sign In' button.",
TC035,Password Requirements,"Enter an email address and a password with a mix of uppercase and lowercase letters, then click on the 'Sign In' button.",
TC036,Password Requirements,"Enter an email address and a password with a minimum of 1 uppercase letter, then click on the 'Sign In' button.",
TC037,Password Requirements,"Enter an email address and a password with a minimum of 1 lowercase letter, then click on the 'Sign In' button.",
TC038,Password Requirements,"Enter an email address and a password with a minimum of 1 number, then click on the 'Sign In' button.",
TC039,Password Requirements,"Enter an email address and a password with a minimum of 1 special character, then click on the 'Sign In' button.",
TC040,Password Requirements,"Enter an email address and a password with a minimum of 8 characters and no special characters, then click on the 'Sign In' button.",
TC041,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and verify the two-factor authentication prompt.",
TC042,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and enter a valid two-factor authentication code.",
TC043,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and enter an invalid two-factor authentication code.",
TC044,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and cancel the two-factor authentication prompt.",
TC045,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and verify the two-factor authentication prompt when the two-factor authentication is disabled.",
TC046,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and verify the two-factor authentication prompt when the two-factor authentication is enabled.",
TC047,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and verify the two-factor authentication prompt when the two-factor authentication is not enabled.",
TC048,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and enter a valid two-factor authentication code when the two-factor authentication is not enabled.",
TC049,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and enter an invalid two-factor authentication code when the two-factor authentication is not enabled.",
TC050,Two-Factor Authentication,"Enter an email address and a password, then click on the 'Sign In' button and cancel the two-factor authentication prompt when the two-factor authentication is not enabled.",
TC051,Browser Compatibility,Launch the VWO login page in Google Chrome and verify the login form.,
TC052,Browser Compatibility,Launch the VWO login page in Mozilla Firefox and verify the login form.,
TC053,Browser Compatibility,Launch the VWO login page in Safari and verify the login form.,
TC054,Browser Compatibility,Launch the VWO login page in Edge and verify the login form.,
TC055,Browser Compatibility,Launch the VWO login page in Internet Explorer and verify the login form.,
TC056,Browser Compatibility,Launch the VWO login page in Opera and verify the login form.,
TC057,Browser Compatibility,Launch the VWO login page in Chrome on Android and verify the login form.,
TC058,Browser Compatibility,Launch the VWO login page in Safari on iOS and verify the login form.,
TC059,Browser Compatibility,Launch the VWO login page in Firefox on Android and verify the login form.,
TC060,Browser Compatibility,Launch the VWO login page in Edge on Android and verify the login form.,
TC061,Keyboard Navigation,Launch the VWO login page and navigate using the keyboard.,
TC062,Keyboard Navigation,Use the tab key to navigate to the email address field and verify the focus is on the field.,
TC063,Keyboard Navigation,Use the tab key to navigate to the password field and verify the focus is on the field.,
TC064,Keyboard Navigation,Use the tab key to navigate to the 'Sign In' button and verify the focus is on the button.,
TC065,Keyboard Navigation,Use the enter key to click on the 'Sign In' button and verify the login form is submitted.,
TC066,Keyboard Navigation,Use the alt key to access the menu and verify the menu is displayed.,
TC067,Keyboard Navigation,Use the shift key to access the menu and verify the menu is displayed.,
TC068,Keyboard Navigation,Use the arrow keys to navigate the menu and verify the menu is displayed.,
TC069,Keyboard Navigation,Use the enter key to click on a menu item and verify the menu item is selected.,
TC070,Keyboard Navigation,Use the escape key to close the menu and verify the menu is hidden.,
TC071,Screen Reader Compatibility,Launch the VWO login page in Google Chrome with a screen reader enabled and verify the login form is displayed correctly.,
TC072,Screen Reader Compatibility,Launch the VWO login page in Mozilla Firefox with a screen reader enabled and verify the login form is displayed correctly.,
TC073,Screen Reader Compatibility,Launch the VWO login page in Safari with a screen reader enabled and verify the login form is displayed correctly.,
TC074,Screen Reader Compatibility,Launch the VWO login page in Edge with a screen reader enabled and verify the login form is displayed correctly.,
TC075,Screen Reader Compatibility,Launch the VWO login page in Internet Explorer with a screen reader enabled and verify the login form is displayed correctly.,
TC076,Screen Reader Compatibility,Launch the VWO login page in Opera with a screen reader enabled and verify the login form is displayed correctly.,
TC077,Screen Reader Compatibility,Launch the VWO login page in Chrome on Android with a screen reader enabled and verify the login form is displayed correctly.,
TC078,Screen Reader Compatibility,Launch the VWO login page in Safari on iOS with a screen reader enabled and verify the login form is displayed correctly.,
TC079,Screen Reader Compatibility,Launch the VWO login page in Firefox on Android with a screen reader enabled and verify the login form is displayed correctly.,
TC080,Dummy Test,Verify that the VWO login page loads within 3 seconds on a slow 3G network connection.,PASS
